NO.,Time,ms,mV,mV.1
269,16/06/2021 11:18,0,14.16,5.97
270,16/06/2021 11:18,0,13.69,5.77
271,16/06/2021 11:18,0,12.97,5.48
272,16/06/2021 11:18,0,11.44,4.84
273,16/06/2021 11:18,0,11.81,4.98
274,16/06/2021 11:18,0,13.15,5.55
275,16/06/2021 11:19,0,14.26,6
276,16/06/2021 11:19,0,13.94,5.88
277,16/06/2021 11:19,0,13.38,5.65
278,16/06/2021 11:19,0,12.85,5.43
279,16/06/2021 11:19,0,12.62,5.33
280,16/06/2021 11:19,0,12.01,5.08
281,16/06/2021 11:20,0,10.51,4.45
282,16/06/2021 11:20,0,8.83,3.76
283,16/06/2021 11:20,0,8.59,3.65
284,16/06/2021 11:20,0,8.78,3.72
285,16/06/2021 11:20,0,8.93,3.78
286,16/06/2021 11:20,0,9.06,3.82
287,16/06/2021 11:21,0,9.72,4.11
288,16/06/2021 11:21,0,10.53,4.43
289,16/06/2021 11:21,0,9.49,4
290,16/06/2021 11:21,0,9,3.8
291,16/06/2021 11:21,0,7.94,3.36
292,16/06/2021 11:21,0,8.28,3.5
293,16/06/2021 11:22,0,8.4,3.55
294,16/06/2021 11:22,0,7.04,2.99
295,16/06/2021 11:22,0,8.23,3.46
296,16/06/2021 11:22,0,8.09,3.41
297,16/06/2021 11:22,0,8.28,3.49
298,16/06/2021 11:23,0,9.25,3.87
299,16/06/2021 11:23,0,8.86,3.73
300,16/06/2021 11:23,0,8.96,3.76
301,16/06/2021 11:23,0,9.66,4.06
302,16/06/2021 11:23,0,12.02,5.02
303,16/06/2021 11:23,0,14.02,5.88
304,16/06/2021 11:24,0,14,5.88
305,16/06/2021 11:24,0,14.64,6.14
306,16/06/2021 11:24,0,13.97,5.86
307,16/06/2021 11:24,0,13.79,5.78
308,16/06/2021 11:24,0,12.87,5.41
309,16/06/2021 11:24,0,13.06,5.48
310,16/06/2021 11:25,0,11.55,4.87
311,16/06/2021 11:25,0,10.21,4.3
312,16/06/2021 11:25,0,11.2,4.71
313,16/06/2021 11:25,0,11.14,4.69
314,16/06/2021 11:25,0,10.34,4.35
315,16/06/2021 11:25,0,9.42,3.96
316,16/06/2021 11:26,0,9.63,4.04
317,16/06/2021 11:26,0,7.48,3.16
318,16/06/2021 11:26,0,7.32,3.08
319,16/06/2021 11:26,0,7.68,3.23
320,16/06/2021 11:26,0,8.86,3.72
321,16/06/2021 11:26,0,12.85,5.35
322,16/06/2021 11:27,0,10.87,4.58
323,16/06/2021 11:27,0,11.41,4.81
324,16/06/2021 11:27,0,11.34,4.75
325,16/06/2021 11:27,0,11.15,4.66
326,16/06/2021 11:27,0,9.89,4.15
327,16/06/2021 11:27,0,9.43,3.96
328,16/06/2021 11:28,0,9.62,4.04
329,16/06/2021 11:28,0,8.66,3.64
330,16/06/2021 11:28,0,8.27,3.48
331,16/06/2021 11:28,0,9.4,3.96
332,16/06/2021 11:28,0,8.07,3.39
333,16/06/2021 11:28,0,7.78,3.27
334,16/06/2021 11:29,0,8.26,3.47
335,16/06/2021 11:29,0,8.24,3.45
336,16/06/2021 11:29,0,11.54,4.81
337,16/06/2021 11:29,0,13.98,5.86
338,16/06/2021 11:29,0,13.27,5.57
339,16/06/2021 11:29,0,13.2,5.54
340,16/06/2021 11:30,0,13.26,5.57
341,16/06/2021 11:30,0,12.83,5.39
342,16/06/2021 11:30,0,12.03,5.05
343,16/06/2021 11:30,0,10.84,4.57
344,16/06/2021 11:30,0,9.64,4.07
345,16/06/2021 11:30,0,10.04,4.23
346,16/06/2021 11:31,0,10.24,4.31
347,16/06/2021 11:31,0,9.94,4.19
348,16/06/2021 11:31,0,10.27,4.33
349,16/06/2021 11:31,0,9.56,4.03
350,16/06/2021 11:31,0,8.69,3.67
351,16/06/2021 11:31,0,8.88,3.73
352,16/06/2021 11:32,0,8.11,3.42
353,16/06/2021 11:32,0,9.07,3.82
354,16/06/2021 11:32,0,8.69,3.67
355,16/06/2021 11:32,0,11.1,4.66
356,16/06/2021 11:32,0,12.46,5.22
357,16/06/2021 11:32,0,13.65,5.73
358,16/06/2021 11:33,0,13.13,5.53
359,16/06/2021 11:33,0,15.75,6.57
360,16/06/2021 11:33,0,14.85,6.25
361,16/06/2021 11:33,0,14.7,6.19
362,16/06/2021 11:33,0,14.79,6.2
363,16/06/2021 11:33,0,13.01,5.49
364,16/06/2021 11:34,0,12.73,5.37
365,16/06/2021 11:34,0,11.87,5
366,16/06/2021 11:34,0,16.2,6.76
367,16/06/2021 11:34,0,14.05,5.92
368,16/06/2021 11:34,0,16.91,7.1
369,16/06/2021 11:34,0,14.44,6.08
370,16/06/2021 11:35,0,9.77,4.19
371,16/06/2021 11:35,0,8.09,3.44
372,16/06/2021 11:35,0,7.98,3.4
373,16/06/2021 11:35,0,10.43,4.39
374,16/06/2021 11:35,0,13.91,5.88
375,16/06/2021 11:35,0,17.45,7.32
376,16/06/2021 11:36,0,12.69,5.42
377,16/06/2021 11:36,0,16.8,7.07
378,16/06/2021 11:36,0,7.79,3.34
379,16/06/2021 11:36,0,7.78,3.3
380,16/06/2021 11:36,0,12.07,5.06
381,16/06/2021 11:36,0,13.45,5.66
382,16/06/2021 11:37,0,17.42,7.32
383,16/06/2021 11:37,0,17.24,7.26
384,16/06/2021 11:37,0,17.16,7.23
385,16/06/2021 11:37,0,17.04,7.19
386,16/06/2021 11:37,0,17.04,7.19
387,16/06/2021 11:37,0,17,7.17
388,16/06/2021 11:38,0,16.96,7.16
389,16/06/2021 11:38,0,16.9,7.13
390,16/06/2021 11:38,0,16.72,7.06
391,16/06/2021 11:38,0,16.74,7.06
392,16/06/2021 11:38,0,16.67,7.04
393,16/06/2021 11:38,0,16.57,7
394,16/06/2021 11:39,0,16.44,6.95
395,16/06/2021 11:39,0,16.35,6.92
396,16/06/2021 11:39,0,16.37,6.92
397,16/06/2021 11:39,0,16.39,6.92
398,16/06/2021 11:39,0,16.35,6.91
399,16/06/2021 11:39,0,16.37,6.92
400,16/06/2021 11:40,0,16.27,6.88
401,16/06/2021 11:40,0,16.28,6.88
402,16/06/2021 11:40,0,16.31,6.9
403,16/06/2021 11:40,0,16.28,6.89
404,16/06/2021 11:40,0,16.23,6.86
405,16/06/2021 11:40,0,16.2,6.85
406,16/06/2021 11:41,0,16.04,6.79
407,16/06/2021 11:41,0,16,6.77
408,16/06/2021 11:41,0,15.96,6.75
409,16/06/2021 11:41,0,15.99,6.76
410,16/06/2021 11:41,0,15.25,6.44
411,16/06/2021 11:41,0,15.63,6.6
412,16/06/2021 11:42,0,7.34,3.17
413,16/06/2021 11:42,0,7.88,3.35
414,16/06/2021 11:42,0,14.83,6.23
415,16/06/2021 11:42,0,15.61,6.59
416,16/06/2021 11:42,0,15.55,6.57
417,16/06/2021 11:43,0,15.64,6.6
418,16/06/2021 11:43,0,15.61,6.59
419,16/06/2021 11:43,0,14.9,6.31
420,16/06/2021 11:43,0,14.33,6.05
421,16/06/2021 11:43,0,15.51,6.54
422,16/06/2021 11:43,0,15.44,6.52
423,16/06/2021 11:44,0,14.5,6.14
424,16/06/2021 11:44,0,15.69,6.62
425,16/06/2021 11:44,0,15.93,6.72
426,16/06/2021 11:44,0,15.88,6.71
427,16/06/2021 11:44,0,15.81,6.68
428,16/06/2021 11:44,0,15.85,6.69
429,16/06/2021 11:45,0,15.96,6.74
430,16/06/2021 11:45,0,15.77,6.66
431,16/06/2021 11:45,0,15.78,6.66
432,16/06/2021 11:45,0,15.95,6.73
433,16/06/2021 11:45,0,16.1,6.8
434,16/06/2021 11:45,0,16.05,6.78
435,16/06/2021 11:46,0,15.68,6.62
436,16/06/2021 11:46,0,14.47,6.07
437,16/06/2021 11:46,0,9.97,4.21
438,16/06/2021 11:46,0,9.78,4.12
439,16/06/2021 11:47,0,7.27,3.15
440,16/06/2021 11:47,0,11.15,4.67
441,16/06/2021 11:47,0,7.47,3.22
