NO.,Time,ms,mV,mV.1
201,2021/05/19 12:52:36,0,16.12,6.79
202,2021/05/19 12:52:46,0,16.15,6.81
203,2021/05/19 12:52:56,0,16.14,6.81
204,2021/05/19 12:53:06,0,16.17,6.82
205,2021/05/19 12:53:16,0,16.15,6.82
206,2021/05/19 12:53:26,0,16.15,6.82
207,2021/05/19 12:53:36,0,16.19,6.83
208,2021/05/19 12:53:46,0,16.19,6.83
209,2021/05/19 12:53:56,0,16.21,6.86
210,2021/05/19 12:54:06,0,16.25,6.86
211,2021/05/19 12:54:16,0,16.27,6.88
212,2021/05/19 12:54:26,0,16.27,6.88
213,2021/05/19 12:54:36,0,16.28,6.89
214,2021/05/19 12:54:46,0,16.28,6.89
215,2021/05/19 12:54:56,0,16.29,6.9
216,2021/05/19 12:55:06,0,16.29,6.9
217,2021/05/19 12:55:16,0,16.29,6.9
218,2021/05/19 12:55:26,0,16.29,6.89
219,2021/05/19 12:55:36,0,16.29,6.89
220,2021/05/19 12:55:46,0,16.31,6.91
221,2021/05/19 12:55:56,0,16.32,6.91
222,2021/05/19 12:56:06,0,16.32,6.91
223,2021/05/19 12:56:16,0,16.3,6.9
224,2021/05/19 12:56:26,0,16.3,6.9
225,2021/05/19 12:56:36,0,16.29,6.9
226,2021/05/19 12:56:46,0,16.28,6.89
227,2021/05/19 12:56:56,0,16.28,6.88
228,2021/05/19 12:57:06,0,16.27,6.88
229,2021/05/19 12:57:16,0,16.26,6.88
230,2021/05/19 12:57:26,0,16.27,6.88
231,2021/05/19 12:57:36,0,16.27,6.88
232,2021/05/19 12:57:46,0,16.26,6.89
233,2021/05/19 12:57:56,0,16.28,6.89
234,2021/05/19 12:58:06,0,16.28,6.89
235,2021/05/19 12:58:16,0,16.29,6.88
236,2021/05/19 12:58:26,0,16.3,6.9
237,2021/05/19 12:58:36,0,16.31,6.91
238,2021/05/19 12:58:46,0,16.31,6.9
239,2021/05/19 12:58:56,0,16.31,6.92
240,2021/05/19 12:59:06,0,16.34,6.92
241,2021/05/19 12:59:16,0,16.34,6.92
242,2021/05/19 12:59:26,0,16.35,6.92
243,2021/05/19 12:59:36,0,16.37,6.93
244,2021/05/19 12:59:46,0,16.37,6.93
245,2021/05/19 12:59:56,0,16.4,6.95
246,2021/05/19 13:00:06,0,16.4,6.96
247,2021/05/19 13:00:16,0,16.4,6.96
248,2021/05/19 13:00:26,0,16.38,6.94
249,2021/05/19 13:00:36,0,16.39,6.94
250,2021/05/19 13:00:46,0,16.39,6.94
251,2021/05/19 13:00:56,0,16.41,6.96
252,2021/05/19 13:01:06,0,16.41,6.96
253,2021/05/19 13:01:16,0,16.42,6.96
254,2021/05/19 13:01:26,0,16.43,6.96
255,2021/05/19 13:01:36,0,16.43,6.97
256,2021/05/19 13:01:46,0,16.44,6.98
257,2021/05/19 13:01:56,0,16.4,6.95
258,2021/05/19 13:02:06,0,16.39,6.95
259,2021/05/19 13:02:16,0,16.39,6.94
260,2021/05/19 13:02:26,0,16.4,6.96
261,2021/05/19 13:02:36,0,16.4,6.95
262,2021/05/19 13:02:46,0,16.4,6.94
263,2021/05/19 13:02:56,0,16.38,6.95
264,2021/05/19 13:03:06,0,16.37,6.93
265,2021/05/19 13:03:16,0,16.38,6.93
266,2021/05/19 13:03:26,0,16.36,6.92
267,2021/05/19 13:03:36,0,16.35,6.92
268,2021/05/19 13:03:46,0,16.34,6.9
269,2021/05/19 13:03:56,0,16.32,6.89
270,2021/05/19 13:04:06,0,16.32,6.9
271,2021/05/19 13:04:16,0,16.33,6.9
272,2021/05/19 13:04:26,0,16.34,6.91
273,2021/05/19 13:04:36,0,16.34,6.91
274,2021/05/19 13:04:46,0,16.32,6.91
275,2021/05/19 13:04:56,0,16.25,6.88
276,2021/05/19 13:05:06,0,16.23,6.87
277,2021/05/19 13:05:16,0,16.26,6.89
278,2021/05/19 13:05:26,0,16.31,6.9
279,2021/05/19 13:05:36,0,16.34,6.93
280,2021/05/19 13:05:46,0,16.36,6.93
281,2021/05/19 13:05:56,0,16.37,6.95
282,2021/05/19 13:06:06,0,16.38,6.95
283,2021/05/19 13:06:16,0,16.38,6.94
284,2021/05/19 13:06:26,0,16.37,6.94
285,2021/05/19 13:06:36,0,16.35,6.93
286,2021/05/19 13:06:46,0,16.36,6.93
287,2021/05/19 13:06:56,0,16.35,6.93
288,2021/05/19 13:07:06,0,16.34,6.91
289,2021/05/19 13:07:16,0,16.33,6.9
290,2021/05/19 13:07:26,0,16.33,6.9
291,2021/05/19 13:07:36,0,16.34,6.9
292,2021/05/19 13:07:46,0,16.32,6.89
293,2021/05/19 13:07:56,0,16.31,6.9
294,2021/05/19 13:08:06,0,16.33,6.9
295,2021/05/19 13:08:16,0,16.31,6.9
296,2021/05/19 13:08:26,0,16.34,6.91
297,2021/05/19 13:08:36,0,16.34,6.93
298,2021/05/19 13:08:46,0,16.34,6.91
299,2021/05/19 13:08:56,0,16.33,6.92
300,2021/05/19 13:09:06,0,16.34,6.93
301,2021/05/19 13:09:16,0,16.33,6.92
302,2021/05/19 13:09:26,0,16.34,6.93
303,2021/05/19 13:09:36,0,16.34,6.93
304,2021/05/19 13:09:46,0,16.34,6.92
305,2021/05/19 13:09:56,0,16.32,6.9
306,2021/05/19 13:10:06,0,16.32,6.9
307,2021/05/19 13:10:16,0,16.34,6.91
308,2021/05/19 13:10:26,0,16.32,6.9
309,2021/05/19 13:10:36,0,16.31,6.9
310,2021/05/19 13:10:46,0,16.31,6.9
311,2021/05/19 13:10:56,0,16.3,6.89
312,2021/05/19 13:11:06,0,16.3,6.88
313,2021/05/19 13:11:16,0,16.31,6.9
314,2021/05/19 13:11:26,0,16.32,6.91
315,2021/05/19 13:11:36,0,16.31,6.9
316,2021/05/19 13:11:46,0,16.31,6.9
317,2021/05/19 13:11:56,0,16.3,6.9
318,2021/05/19 13:12:06,0,16.3,6.89
319,2021/05/19 13:12:16,0,16.31,6.89
320,2021/05/19 13:12:26,0,16.3,6.89
321,2021/05/19 13:12:36,0,16.29,6.89
322,2021/05/19 13:12:46,0,16.3,6.89
323,2021/05/19 13:12:56,0,16.28,6.88
324,2021/05/19 13:13:06,0,16.27,6.88
325,2021/05/19 13:13:16,0,16.27,6.87
326,2021/05/19 13:13:26,0,16.29,6.88
327,2021/05/19 13:13:36,0,16.29,6.88
328,2021/05/19 13:13:46,0,16.29,6.88
329,2021/05/19 13:13:56,0,16.28,6.87
330,2021/05/19 13:14:06,0,16.27,6.88
331,2021/05/19 13:14:16,0,16.27,6.88
332,2021/05/19 13:14:26,0,16.29,6.89
333,2021/05/19 13:14:36,0,16.29,6.89
334,2021/05/19 13:14:46,0,16.29,6.9
335,2021/05/19 13:14:56,0,16.3,6.9
336,2021/05/19 13:15:06,0,16.31,6.91
337,2021/05/19 13:15:16,0,16.31,6.9
338,2021/05/19 13:15:26,0,16.31,6.91
339,2021/05/19 13:15:36,0,16.28,6.9
340,2021/05/19 13:15:46,0,16.3,6.9
341,2021/05/19 13:15:56,0,16.29,6.9
342,2021/05/19 13:16:06,0,16.31,6.9
343,2021/05/19 13:16:16,0,16.31,6.9
344,2021/05/19 13:16:26,0,16.29,6.89
